Изображение,Лучший класс,Уверенность,Статус,Класс_1,Вероятность_1,Класс_2,Вероятность_2,Класс_3,Вероятность_3,Класс_4,Вероятность_4,Класс_5,Вероятность_5
img (1).jpeg,minibus,0.1655,Сомнительное распознавание,minibus,0.1655,trolleybus,0.1511,streetcar,0.0535,passenger car,0.0367,police van,0.0159
img (1).jpg,hyena,0.3658,Удачное распознавание,hyena,0.3658,African hunting dog,0.0359,dhole,0.0019,dingo,0.0017,Egyptian cat,0.0014
img (1).webp,crash helmet,0.2338,Сомнительное распознавание,crash helmet,0.2338,motor scooter,0.0703,disk brake,0.0252,moped,0.0185,snowmobile,0.0167
img (10).jpg,sports car,0.3826,Удачное распознавание,sports car,0.3826,beach wagon,0.0779,car wheel,0.0434,racer,0.021,convertible,0.016
img (100).jpg,police van,0.4659,Удачное распознавание,police van,0.4659,minivan,0.0131,palace,0.0102,grille,0.0035,beach wagon,0.0028
img (101).jpg,Rottweiler,0.5897,Удачное распознавание,Rottweiler,0.5897,Doberman,0.0038,kelpie,0.0036,Appenzeller,0.0023,Labrador retriever,0.0023
img (102).jpg,vending machine,0.1413,Сомнительное распознавание,vending machine,0.1413,grocery store,0.0966,pop bottle,0.0547,confectionery,0.0536,packet,0.0291
img (103).jpg,hyena,0.346,Удачное распознавание,hyena,0.346,African hunting dog,0.0175,Egyptian cat,0.0037,lynx,0.0019,rapeseed,0.0019
img (11).jpg,notebook,0.3282,Удачное распознавание,notebook,0.3282,laptop,0.1994,space bar,0.0175,screen,0.0167,desktop computer,0.0145
img (12).jpg,tricycle,0.2114,Сомнительное распознавание,tricycle,0.2114,bicycle-built-for-two,0.179,jinrikisha,0.0256,mountain bike,0.0204,parking meter,0.0135
img (13).jpg,tricycle,0.3016,Удачное распознавание,tricycle,0.3016,bicycle-built-for-two,0.1472,mountain bike,0.0136,jinrikisha,0.0074,shopping basket,0.007
img (14).jpg,bicycle-built-for-two,0.2016,Сомнительное распознавание,bicycle-built-for-two,0.2016,tricycle,0.0617,jinrikisha,0.0327,parking meter,0.0147,mountain bike,0.012
img (15).jpg,crash helmet,0.2094,Сомнительное распознавание,crash helmet,0.2094,disk brake,0.0673,moped,0.0584,motor scooter,0.0253,backpack,0.0063
img (16).jpg,cheeseburger,0.5809,Удачное распознавание,cheeseburger,0.5809,bagel,0.003,modem,0.0019,mushroom,0.0017,screen,0.0015
img (17).jpg,police van,0.0807,Сомнительное распознавание,police van,0.0807,minivan,0.0786,pickup,0.0738,limousine,0.0549,beach wagon,0.0541
img (18).jpg,minivan,0.1137,Сомнительное распознавание,minivan,0.1137,limousine,0.1136,beach wagon,0.0455,sports car,0.036,car wheel,0.0267
img (19).jpg,streetcar,0.3151,Удачное распознавание,streetcar,0.3151,passenger car,0.0904,trolleybus,0.066,school bus,0.0322,electric locomotive,0.0097
img (2).jpeg,backpack,0.2987,Сомнительное распознавание,backpack,0.2987,mailbag,0.1472,binder,0.0021,bulletproof vest,0.002,Sussex spaniel,0.0015
img (2).jpg,tiger,0.3731,Удачное распознавание,tiger,0.3731,tiger cat,0.161,chainlink fence,0.0035,lynx,0.003,viaduct,0.0019
img (20).jpg,notebook,0.1622,Сомнительное распознавание,notebook,0.1622,laptop,0.1245,space bar,0.0848,modem,0.023,screen,0.0169
img (21).jpg,motor scooter,0.2317,Сомнительное распознавание,motor scooter,0.2317,crash helmet,0.087,moped,0.0404,snowmobile,0.0374,disk brake,0.0362
img (22).jpg,cheeseburger,0.1731,Сомнительное распознавание,cheeseburger,0.1731,plate,0.0208,French loaf,0.0153,meat loaf,0.0139,consomme,0.0108
img (23).jpg,panpipe,0.2338,Сомнительное распознавание,panpipe,0.2338,matchstick,0.1094,drumstick,0.0393,stretcher,0.0146,rubber eraser,0.0129
img (24).jpg,moped,0.3089,Удачное распознавание,moped,0.3089,motor scooter,0.1138,disk brake,0.072,mortar,0.0064,crash helmet,0.006
img (25).jpg,notebook,0.3758,Удачное распознавание,notebook,0.3758,laptop,0.0964,space bar,0.0266,screen,0.0256,modem,0.0231
img (26).jpg,beaver,0.4908,Удачное распознавание,beaver,0.4908,marmot,0.0293,otter,0.0079,water buffalo,0.0074,mink,0.0066
img (27).jpg,African elephant,0.301,Удачное распознавание,African elephant,0.301,tusker,0.1855,Indian elephant,0.0792,mailbag,0.0016,zebra,0.001
img (28).jpg,missile,0.0744,Сомнительное распознавание,missile,0.0744,projectile,0.0698,flagpole,0.0364,pole,0.02,suspension bridge,0.0137
img (29).jpg,potpie,0.5101,Удачное распознавание,potpie,0.5101,pizza,0.0049,frying pan,0.0044,dough,0.0028,Dutch oven,0.0024
img (3).jpg,cheetah,0.5072,Удачное распознавание,cheetah,0.5072,leopard,0.0114,jaguar,0.0025,patio,0.0015,basenji,0.0014
img (30).jpg,minivan,0.1999,Сомнительное распознавание,minivan,0.1999,beach wagon,0.0772,car wheel,0.0582,sports car,0.0529,convertible,0.0226
img (31).jpg,sports car,0.7341,Удачное распознавание,sports car,0.7341,car wheel,0.0198,racer,0.018,convertible,0.0094,grille,0.006
img (32).jpg,mixing bowl,0.0744,Сомнительное распознавание,mixing bowl,0.0744,guacamole,0.0393,plate,0.0346,bucket,0.0344,wok,0.0229
img (33).jpg,Egyptian cat,0.1115,Сомнительное распознавание,Egyptian cat,0.1115,Persian cat,0.0791,tabby,0.0749,tiger cat,0.0725,lynx,0.0175
img (34).jpg,sorrel,0.1859,Сомнительное распознавание,sorrel,0.1859,hartebeest,0.0936,ox,0.0147,ibex,0.0145,impala,0.0059
img (35).jpg,pizza,0.4891,Удачное распознавание,pizza,0.4891,potpie,0.0115,carbonara,0.0041,corn,0.004,spatula,0.0034
img (36).jpg,bicycle-built-for-two,0.1956,Сомнительное распознавание,bicycle-built-for-two,0.1956,mountain bike,0.136,tricycle,0.0573,unicycle,0.0135,jean,0.0105
img (37).jpg,capuchin,0.0876,Сомнительное распознавание,capuchin,0.0876,squirrel monkey,0.0416,titi,0.0398,proboscis monkey,0.0373,three-toed sloth,0.031
img (38).jpg,notebook,0.1868,Сомнительное распознавание,notebook,0.1868,laptop,0.0832,hand-held computer,0.0818,mouse,0.0521,cellular telephone,0.0294
img (39).jpg,titi,0.1344,Сомнительное распознавание,titi,0.1344,macaque,0.0927,patas,0.0883,squirrel monkey,0.0435,guenon,0.0417
img (4).JPG,beaver,0.4089,Удачное распознавание,beaver,0.4089,marmot,0.012,porcupine,0.0118,mink,0.0035,otter,0.0032
img (40).jpg,frying pan,0.2028,Сомнительное распознавание,frying pan,0.2028,consomme,0.0507,wok,0.0349,soup bowl,0.026,mixing bowl,0.0123
img (41).jpg,cellular telephone,0.1617,Сомнительное распознавание,cellular telephone,0.1617,iPod,0.142,hand-held computer,0.0368,notebook,0.0238,mouse,0.0175
img (42).jpg,golden retriever,0.3743,Удачное распознавание,golden retriever,0.3743,flat-coated retriever,0.0191,Labrador retriever,0.0072,Sussex spaniel,0.0064,curly-coated retriever,0.0062
img (43).jpg,cheeseburger,0.4739,Удачное распознавание,cheeseburger,0.4739,hotdog,0.0112,potpie,0.006,plate,0.005,restaurant,0.0046
img (44).jpg,minivan,0.1539,Сомнительное распознавание,minivan,0.1539,beach wagon,0.1345,car wheel,0.0485,convertible,0.023,sports car,0.0186
img (45).jpg,golden retriever,0.1011,Сомнительное распознавание,golden retriever,0.1011,Labrador retriever,0.0867,tennis ball,0.0578,vizsla,0.0275,soccer ball,0.0182
img (46).jpg,tricycle,0.1186,Сомнительное распознавание,tricycle,0.1186,jinrikisha,0.0663,bicycle-built-for-two,0.0493,parking meter,0.0484,moped,0.0436
img (47).jpg,bicycle-built-for-two,0.2185,Сомнительное распознавание,bicycle-built-for-two,0.2185,tricycle,0.1348,mountain bike,0.0567,parking meter,0.0152,jinrikisha,0.0132
img (48).jpg,joystick,0.1016,Сомнительное распознавание,joystick,0.1016,radio,0.0961,oscilloscope,0.0774,tape player,0.0708,monitor,0.0591
img (49).jpg,stove,0.0814,Сомнительное распознавание,stove,0.0814,lighter,0.0324,fire screen,0.0263,hair spray,0.0241,candle,0.024
img (5).jpg,Model T,0.4653,Удачное распознавание,Model T,0.4653,half track,0.0076,tricycle,0.007,pickelhaube,0.0059,thresher,0.0041
img (50).jpg,cab,0.3608,Удачное распознавание,cab,0.3608,sports car,0.0347,limousine,0.0212,minivan,0.021,traffic light,0.0185
img (51).jpg,iPod,0.2901,Сомнительное распознавание,iPod,0.2901,cellular telephone,0.1394,remote control,0.0579,book jacket,0.014,pencil box,0.0125
